2	0.20	1.13615E+00	1.14065E+00	1.13903E+00	1.12825E+00	1.28999E+00	1.34844E+00	1.04014E+00	1.04014E+00	1.06604E+00
2	0.25	1.06144E+00	1.07101E+00	1.05981E+00	1.05416E+00	1.17266E+00	1.22119E+00	9.29133E-01	9.29133E-01	9.34467E-01
2	0.30	9.65718E-01	9.82511E-01	9.60635E-01	9.61925E-01	1.03881E+00	1.07224E+00	8.41830E-01	8.41830E-01	8.28900E-01
2	0.35	8.53495E-01	8.78960E-01	8.48852E-01	8.58276E-01	8.99824E-01	9.19044E-01	7.51601E-01	7.51601E-01	7.23718E-01
2	0.40	7.31286E-01	7.64743E-01	7.32149E-01	7.50175E-01	7.63242E-01	7.72272E-01	6.63495E-01	6.63495E-01	6.24224E-01
2	0.45	6.05931E-01	6.44557E-01	6.17361E-01	6.43967E-01	6.36641E-01	6.38724E-01	5.79391E-01	5.79391E-01	5.32070E-01
2	0.50	4.83794E-01	5.23405E-01	5.09629E-01	5.44150E-01	5.17629E-01	5.17196E-01	5.00467E-01	5.00467E-01	4.48146E-01
2	0.55	3.70386E-01	4.07002E-01	4.12391E-01	4.53903E-01	4.18561E-01	4.15642E-01	4.29104E-01	4.29104E-01	3.74423E-01
2	0.60	2.69956E-01	3.00644E-01	3.27809E-01	3.75211E-01	3.40678E-01	3.37614E-01	3.67073E-01	3.67073E-01	3.12313E-01
2	0.65	1.85539E-01	2.09093E-01	2.56334E-01	3.08416E-01	2.80406E-01	2.77803E-01	3.11205E-01	3.11205E-01	2.59201E-01
2	0.70	1.18450E-01	1.35389E-01	1.97436E-01	2.53124E-01	2.36016E-01	2.38580E-01	2.63466E-01	2.63466E-01	2.17249E-01
2	0.75	6.86601E-02	8.04062E-02	1.50097E-01	2.08519E-01	2.05016E-01	1.92403E-01	2.20848E-01	2.20848E-01	1.85119E-01
2	0.80	3.47576E-02	4.29390E-02	1.12811E-01	1.73529E-01	1.83924E-01	1.64890E-01	1.85778E-01	1.85778E-01	1.55722E-01
2	0.85	1.42898E-02	1.99971E-02	8.39078E-02	1.47866E-01	1.57438E-01	1.35331E-01	1.55806E-01	1.55806E-01	1.30600E-01
2	0.90	4.06151E-03	7.58753E-03	6.18350E-02	1.35187E-01	8.55642E-02	1.48140E-01	1.30315E-01	1.30315E-01	1.09232E-01
2	0.95	4.85918E-04	1.76976E-03	4.51913E-02	1.62962E-01	1.14649E-01	1.14649E-01	1.08287E-01	1.08287E-01	9.07681E-02
5	0.05	1.42103E+00	1.44018E+00	1.44115E+00	1.43589E+00	1.62160E+00	1.67124E+00	1.31494E+00	1.31494E+00	1.29506E+00
5	0.10	1.28651E+00	1.30548E+00	1.30778E+00	1.30241E+00	1.47563E+00	1.54685E+00	1.23760E+00	1.23760E+00	1.28067E+00
5	0.15	1.19132E+00	1.20921E+00	1.21172E+00	1.20707E+00	1.35042E+00	1.41681E+00	1.16095E+00	1.16095E+00	1.20530E+00
5	0.20	1.09889E+00	1.11454E+00	1.11564E+00	1.11256E+00	1.21434E+00	1.26083E+00	1.06106E+00	1.06106E+00	1.08749E+00
5	0.25	9.94888E-01	1.00983E+00	1.00828E+00	1.00752E+00	1.06455E+00	1.09636E+00	9.50453E-01	9.50453E-01	9.55909E-01
5	0.30	8.78290E-01	8.94956E-01	8.90487E-01	8.92536E-01	9.11523E-01	9.31009E-01	8.31687E-01	8.31687E-01	8.18912E-01
5	0.35	7.53723E-01	7.73651E-01	7.67172E-01	7.72270E-01	7.64473E-01	7.72697E-01	7.15114E-01	7.15114E-01	6.88585E-01
5	0.40	6.27372E-01	6.50299E-01	6.43904E-01	6.51987E-01	6.27922E-01	6.28745E-01	6.03682E-01	6.03682E-01	5.67951E-01
5	0.45	5.05116E-01	5.29291E-01	5.25726E-01	5.36523E-01	5.03873E-01	5.00894E-01	4.89997E-01	4.89997E-01	4.49977E-01
5	0.50	3.91894E-01	4.14894E-01	4.16756E-01	4.29700E-01	3.93967E-01	3.89619E-01	4.01631E-01	4.01631E-01	3.59643E-01
5	0.55	2.91473E-01	3.11266E-01	3.20194E-01	3.34614E-01	3.01569E-01	2.97313E-01	3.22090E-01	3.22090E-01	2.81046E-01
5	0.60	2.06245E-01	2.21726E-01	2.38182E-01	2.53319E-01	2.27392E-01	2.23663E-01	2.52473E-01	2.52473E-01	2.14809E-01
5	0.65	1.37431E-01	1.48680E-01	1.71162E-01	1.86236E-01	1.68670E-01	1.65790E-01	1.93483E-01	1.93483E-01	1.61150E-01
5	0.70	8.49107E-02	9.27370E-02	1.18644E-01	1.32999E-01	1.23348E-01	1.20953E-01	1.44843E-01	1.44843E-01	1.19435E-01
5	0.75	4.74708E-02	5.29923E-02	7.91983E-02	9.23182E-02	8.87053E-02	8.73867E-02	1.05632E-01	1.05632E-01	8.85427E-02
5	0.80	2.30567E-02	2.71618E-02	5.07645E-02	6.23331E-02	6.62454E-02	6.10738E-02	7.44981E-02	7.44981E-02	6.24457E-02
5	0.85	9.01420E-03	1.20736E-02	3.11593E-02	4.12220E-02	4.28224E-02	4.39079E-02	5.06931E-02	5.06931E-02	4.24919E-02
5	0.90	2.39620E-03	4.29962E-03	1.82475E-02	2.74948E-02	4.08224E-02	3.16907E-02	3.29000E-02	3.29000E-02	2.75774E-02
5	0.95	2.57392E-04	8.93653E-04	1.01053E-02	2.15161E-02	2.22307E-02	2.13943E-02	2.03212E-02	2.03212E-02	1.70336E-02
10	0.05	1.50609E+00	1.53951E+00	1.54005E+00	1.53634E+00	1.74392E+00	1.80696E+00	1.40422E+00	1.40422E+00	1.38299E+00
10	0.10	1.30823E+00	1.33751E+00	1.33878E+00	1.33534E+00	1.51034E+00	1.57934E+00	1.27556E+00	1.27556E+00	1.31995E+00
10	0.15	1.18120E+00	1.20603E+00	1.20751E+00	1.20478E+00	1.33490E+00	1.39526E+00	1.17177E+00	1.17177E+00	1.21654E+00
